ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
382,3/2021,3,3,17,83,,,366.84,7200,27.5,98550,-366.84
383,7/2019,7,1,1,2,2.5,50,567.7,11700,12,140400,-565.2
384,3/2020,3,2,7,38,,,1442.27,28800,15,432000,-1442.27
384,5/2020,5,2,7,38,,,1227.75,24300,30,364500,-1227.75
384,6/2020,6,2,17,82,,,227.88,4500,13,58500,-227.88
384,7/2020,7,2,17,82,,,271.92,5400,13,70200,-271.92
384,11/2020,11,2,7,38,1475.1,29783,125.1,2550,15,38250,1350
384,12/2020,12,2,7,38,,,293.04,6000,15,90000,-293.04
384,3/2021,3,3,7,38,,,921.54,18500,30,277500,-921.54
384,4/2021,4,3,7,38,,,135.545,2700,15,40500,-135.545
384,6/2021,6,3,7,38,1185.6,23800,1185.5,23800,36,428400,0.1
384,7/2021,7,3,7,38,3485.8,69500,3177.84,63300,90,1139400,307.96
384,8/2021,8,3,7,38,3420.4,68400,2362.4,47100,56,659400,1058
384,9/2021,9,3,7,38,2120.1,40550,2435.05,48050,28,672700,-314.95
384,10/2021,10,3,7,38,1297.7,25000,1024.52,19500,14,273000,273.18
384,12/2021,12,3,7,38,148.7,2850,313.6,6000,14,84000,-164.9
384,1/2022,1,4,7,38,,,969.75,18700,15,280500,-969.75
384,3/2022,3,4,7,38,,,133.11,2550,15,38250,-133.11
384,5/2022,5,4,7,38,607,12200,606.62,12200,30,183000,0.38
384,6/2022,6,4,7,38,4121.6,84450,3212.41,66600,90,999000,909.19
384,7/2022,7,4,7,38,7364,148350,2577.98,51800,45,777000,4786.02
384,8/2022,8,4,7,38,4324.7,86950,2618.97,52850,45,792750,1705.73
384,9/2022,9,4,,,965.1,20000,,,,,965.1
384,10/2022,10,4,,,88.9,1800,,,,,88.9
384,5/2019,5,1,7,38,,,3356.04,65700,45,985500,-3356.04
384,3/2023,3,5,7,38,,,975.44,19800,26.5,262350,-975.44
384,6/2019,6,1,7,38,,,1392.13,27900,15,418500,-1392.13
384,7/2019,7,1,7,38,,,228.24,4500,15,67500,-228.24
384,8/2019,8,1,7,38,,,362.77,7200,15,108000,-362.77
385,7/2020,7,2,17,82,,,151.46,3000,13,39000,-151.46
385,4/2021,4,3,7,38,,,2.47,50,15,750,-2.47
386,8/2020,8,2,17,82,28.8,600,48.6,1000,13,13000,-19.8
387,7/2019,7,1,1,3,,,297.11,6000,10.5,63000,-297.11
388,5/2020,5,2,17,82,,,222.4,4500,12,54000,-222.4
388,6/2020,6,2,17,82,,,789.07,16100,52,209300,-789.07
388,7/2020,7,2,17,82,,,400.8,8100,26,105300,-400.8
388,4/2021,4,3,7,38,,,2.6,50,15,750,-2.6
389,10/2019,10,1,11,61,810.2,13300,484.077,8100,60,122400,326.123
389,11/2019,11,1,11,61,246,3900,393.833,6300,32,100800,-147.833
389,12/2019,12,1,11,62,,,270.95,4500,17,76500,-270.95
389,1/2020,1,2,11,61,,,428.93,7200,33,119700,-428.93
389,2/2020,2,2,11,61,,,587.62,9900,44,144000,-587.62
389,5/2020,5,2,11,61,117.6,2050,209.04,3600,33,58500,-91.44
389,6/2020,6,2,17,82,951.6,15750,533.59,9000,63.5,141300,418.01
389,7/2020,7,2,17,82,832.7,13750,546.81,9000,31.5,141750,285.89
389,8/2020,8,2,11,61,513.5,8650,1304.074,21600,96.25,346725,-790.574
389,9/2020,9,2,11,61,840.1,14150,697.045,11700,49.5,193050,143.055
389,10/2020,10,2,11,61,758.7,12750,646.54,10800,48.5,177750,112.16
389,11/2020,11,2,17,81,381.3,6450,159.01,2700,31,41400,222.29
389,12/2020,12,2,11,62,,,266.47,4500,17,76500,-266.47
389,1/2021,1,3,,,589.6,9950,,,,,589.6
389,2/2021,2,3,7,38,930.3,15911,648.7,10800,71.5,159300,281.6
389,3/2021,3,3,7,38,545.5,9450,1105.32,18900,99,310500,-559.82
389,4/2021,4,3,11,61,416.9,7050,572.66,9900,66,162900,-155.76
389,5/2021,5,3,11,61,591.2,10300,108,1800,17.5,31500,483.2
389,6/2021,6,3,17,82,599,10200,207.26,3600,32,57600,391.74
