ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
45,47,11,4,,,234.3,2310,,,,
452,8,8,1,,,931,9000,,,,
453,21,9,2,,,83,750,,,,
456,27,3,3,,,538.9,5100,,,,
456,28,4,3,,,20.5,200,,,,
457,26,2,3,,,4.7,130,,,,
458,30,6,3,,,89.3,1500,,,,
459,35,11,3,,,149.4,630,,,,
459,36,12,3,,,366,1548,,,,
46,47,11,4,,,260.8,2610,,,,
460,36,12,3,,,310.5,2340,,,,
461,37,1,4,,,37.8,870,,,,
461,40,4,4,,,45.9,1020,,,,
462,40,4,4,,,212.1,2974,,,,
462,41,5,4,,,125.9,1740,,,,
463,42,6,4,,,286.5,2550,,,,
463,43,7,4,,,99.4,900,,,,
464,45,9,4,,,200.4,2950,,,,
464,46,10,4,,,31,450,,,,
465,45,9,4,,,53.7,360,,,,
465,46,10,4,,,344.2,2370,,,,
465,47,11,4,,,366.6,2520,,,,
465,48,12,4,,,400.8,2685,,,,
466,46,10,4,,,2.3,30,,,,
467,46,10,4,,,28,150,,,,
468,46,10,4,,,12.2,180,,,,
469,46,10,4,,,16.3,270,,,,
47,47,11,4,,,36.5,360,,,,
470,46,10,4,,,21.4,300,,,,
471,46,10,4,,,10.3,180,,,,
472,46,10,4,,,4.8,100,,,,
473,46,10,4,,,5.4,60,,,,
474,46,10,4,,,26.1,600,,,,
475,46,10,4,,,49.9,810,,,,
476,46,10,4,,,17,510,,,,
477,46,10,4,,,357.2,2543,,,,
478,48,12,4,,,317.4,8100,,,,
478,49,1,5,,,62.6,1600,,,,
479,50,2,5,,,292.1,2700,,,,
48,46,10,4,,,3,30,,,,
480,50,2,5,,,477.2,8970,,,,
481,47,11,4,,,80.07,5200,,,,
49,10,10,1,,,1531.9,15660,,,,
50,38,2,4,,,49.1,390,,,,
50,44,8,4,,,690.1,5490,,,,
50,50,2,5,,,207.8,1620,,,,
51,38,2,4,,,645.4,5160,,,,
51,43,7,4,,,962,7830,,,,
51,44,8,4,,,1516.7,12330,,,,
51,46,10,4,,,7.6,60,,,,
51,50,2,5,,,1908.6,15540,,,,
52,38,2,4,,,507.1,4020,,,,
52,43,7,4,,,870.9,7110,,,,
52,44,8,4,,,1614.4,13110,,,,
52,50,2,5,,,802.5,6480,,,,
53,44,8,4,,,675,5460,,,,
53,49,1,5,,,411.2,3300,,,,
53,50,2,5,,,3441.6,27330,,,,
55,13,1,2,,,559.9,5100,,,,
55,46,10,4,,,3.2,30,,,,
55,9,9,1,,,223.5,2100,,,,
56,46,10,4,,,10.8,90,,,,
57,38,2,4,,,142.9,950,,,,
6,23,11,2,,,270.9,2190,,,,
6,26,2,3,,,1030.8,8520,,,,
60,45,9,4,,,455.9,2610,,,,
60,47,11,4,,,327.2,1830,,,,
60,48,12,4,,,119.2,690,,,,
60,50,2,5,,,145.6,810,,,,
60,51,3,5,,,266.8,1500,,,,
61,39,3,4,,,724.4,4140,,,,
62,42,6,4,,,565.9,3660,,,,
62,46,10,4,,,10,60,,,,
64,46,10,4,,,14.6,90,,,,
66,24,12,2,,,724.9,5100,,,,
67,46,10,4,,,16.5,90,,,,
68,10,10,1,,,761.8,5040,,,,
68,42,6,4,,,442,3000,,,,
68,46,10,4,,,17.9,114,,,,
7,29,5,3,,,225.7,1920,,,,
70,12,12,1,,,1123.1,7470,,,,
70,13,1,2,,,76.4,510,,,,
70,46,10,4,,,43.2,270,,,,
