ITEM ID,TIME ID,TIME_M ID,TIME_Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
74,12,12,1,17,82,,,1722.43,10200,333,377400
74,13,1,2,17,82,,,861.78,5100,185,188700
74,14,2,2,17,81,,,1162.92,6900,148,255300
74,15,3,2,1,5,,,49.8,300,38,11400
74,19,7,2,7,37,,,2.5,15,20,600
74,26,2,3,7,26,,,151.37,905,88,34450
74,31,7,3,1,5,,,47.96,300,40,12000
74,32,8,3,1,8,,,243.88,1500,42,63000
74,33,9,3,1,8,,,294.04,1800,80,74400
74,34,10,3,17,81,,,1819.24,11100,147,403200
74,44,8,4,1,8,,,102.4,600,76,22800
74,46,10,4,17,81,,,504.54,3000,35,105000
74,47,11,4,17,82,,,408.4,2400,111,88800
74,48,12,4,1,5,,,770.9,4500,115,172500
74,49,1,5,17,81,,,1161.1,6900,183,246300
74,50,2,5,17,82,,,600.11,3600,111,133200
74,51,3,5,17,81,,,765.3,4500,70,157500
74,9,9,1,1,5,,,98.2,600,38,22800
75,35,11,3,10,60,,,661.68,3300,100,165000
75,36,12,3,10,60,,,357.72,1800,50,90000
75,40,4,4,10,60,,,357.76,1800,50,90000
75,41,5,4,10,60,,,237.95,1200,50,60000
75,42,6,4,10,60,,,356.86,1800,50,90000
75,47,11,4,10,60,,,959.19,4800,100,240000
75,48,12,4,10,60,,,29.9,150,50,7500
76,4,4,1,7,42,,,5.57,33,55,1650
77,10,10,1,7,44,,,15,90,165,4950
77,11,11,1,16,79,,,10,60,110,3300
77,12,12,1,9,53,,,59.94,360,162.93,21087.9
77,13,1,2,14,76,,,5.1,30,55,1650
77,14,2,2,6,19,,,10.1,60,110,3300
77,15,3,2,1,3,,,5,30,55,1650
77,17,5,2,6,19,,,5,30,55,1650
77,18,6,2,6,17,,,351.7,2130,105,106650
77,19,7,2,7,28,,,15,90,165,4950
77,20,8,2,2,9,,,54.9,330,115,19500
77,21,9,2,6,19,,,14.96,90,164.81,4944.3
77,22,10,2,9,53,,,58,360,167.86,20695.8
77,23,11,2,6,19,,,5,30,54.93,1647.9
77,24,12,2,7,42,,,24.9,150,274.65,8239.5
77,25,1,3,14,67,,,80.2,480,387.58,27287.4
77,26,2,3,6,19,,,10,60,109.86,3295.8
77,27,3,3,6,19,,,25.4,150,309.56,9286.8
77,28,4,3,6,19,,,88.4,540,279.55,37786.5
77,29,5,3,4,11,,,10,60,139.71,4191.3
77,30,6,3,6,19,,,20,120,209.7,8391
77,31,7,3,7,34,,,5,30,70,2100
77,32,8,3,6,19,,,53.1,330,139.85,23095.5
77,33,9,3,7,42,,,19.6,120,279.4,8382
77,34,10,3,6,17,,,24.6,150,279.4,10477.5
77,35,11,3,6,19,,,102.74,630,279.55,44086.5
77,36,12,3,6,19,,,20.3,120,289.55,8686.5
77,37,1,4,7,42,,,20,120,279.4,8382
77,38,2,4,9,53,,,60.5,360,209.7,25191
77,39,3,4,7,42,,,5,30,69.85,2095.5
77,4,4,1,7,45,,,5.1,30,55,1650
77,40,4,4,6,19,,,22.75,180,112,8160
77,41,5,4,6,19,,,4.79,30,72,2160
77,42,6,4,7,42,,,9.58,60,144,4320
77,47,11,4,14,67,,,9.92,60,144,4320
77,5,5,1,9,53,,,29.7,180,225,10350
77,6,6,1,7,42,,,40.3,240,170,14100
77,7,7,1,1,3,,,15,90,165,4950
77,8,8,1,6,19,,,36.5,228,230,13380
77,9,9,1,6,19,,,10,60,110,3300
79,43,7,4,2,9,,,0,30,72,2160
8,36,12,3,1,4,,,52.64,450,33,14850
8,39,3,4,7,34,,,3.6,30,40,1200
8,42,6,4,6,20,,,7.06,60,35,2100
8,45,9,4,6,20,,,17.8,150,34,5100
8,49,1,5,1,4,,,52.74,450,33,14850
80,10,10,1,1,8,,,5.734,30,65.05,1951.5
80,11,11,1,6,15,,,11.468,60,130.1,3903
80,12,12,1,7,44,,,5.734,30,65.1,1953
80,13,1,2,7,37,,,11.468,60,50,3600
80,14,2,2,6,15,,,5.734,30,65.07,1952.1
80,18,6,2,6,15,,,5.734,30,65.05,1951.5
80,19,7,2,14,76,,,11.468,60,130.1,3903
80,20,8,2,6,15,,,5.734,30,65.08,1952.4
80,22,10,2,6,15,,,17.202,90,195.24,5857.2
80,23,11,2,6,15,,,11.468,60,130.16,3904.8
80,36,12,3,6,15,,,117.52,630,145,41400
80,38,2,4,14,76,,,5.5,30,80,2400
80,42,6,4,16,78,,,55.72,300,70,21000
80,44,8,4,16,78,,,62.56,330,152,23460
80,45,9,4,1,5,,,5.6,30,82,2460
80,46,10,4,14,76,,,115.76,630,152,44460
80,48,12,4,6,15,,,16.8,90,164,7380
80,51,3,5,14,76,,,5.6,30,82,2460
80,6,6,1,16,78,,,114.68,600,114,34200
80,7,7,1,1,7,,,17.202,90,120.05,5251.5
80,8,8,1,1,8,,,63.074,330,125.05,19951.5
80,9,9,1,16,78,,,114.864,600,57,34200
81,13,1,2,16,78,,,111.56,600,57,34200
81,22,10,2,1,8,,,10.96,60,65,3900
81,23,11,2,16,78,,,111.16,600,60,36000
81,32,8,3,16,78,,,55.08,300,60,18000
81,5,5,1,6,15,,,5.48,30,65.05,1951.5
82,11,11,1,1,4,,,56.5,300,55,16500
82,12,12,1,1,7,,,113.43,600,110,33000
82,13,1,2,7,23,,,2,15,50,750
82,14,2,2,1,4,,,112.61,600,55,33000
82,19,7,2,7,34,,,1.5,15,60,900
82,21,9,2,1,7,,,55.76,300,60,18000
82,22,10,2,9,55,,,1,5,64.77,323.85
82,24,12,2,1,8,,,11.196,60,130.08,3902.4
82,28,4,3,1,4,,,56.5,300,65,19500
82,31,7,3,1,4,,,56.11,300,65,19500
82,33,9,3,1,7,,,56.5,300,65,19500
82,41,5,4,1,4,,,57.76,300,68,20400
82,42,6,4,1,7,,,58.6,300,70,21000
82,46,10,4,1,4,,,57.16,300,68,20400
82,47,11,4,1,7,,,58.48,300,70,21000
82,49,1,5,1,4,,,56.5,300,68,20400
82,6,6,1,1,4,,,56.5,300,55,16500
82,7,7,1,1,7,,,11.152,60,55,3300
82,8,8,1,11,62,,,5.576,30,65.05,1951.5
83,12,12,1,1,3,,,100.47,540,385.18,33605.4
83,13,1,2,14,73,,,22.38,120,190.16,7504.8
83,14,2,2,1,1,,,63.58,330,260.2,21456
83,15,3,2,7,28,,,10.86,60,130.2,3906
83,18,6,2,7,44,,,11,60,130.1,3903
83,19,7,2,1,8,,,77.06,420,320.29,25808.7
83,20,8,2,7,28,,,16.44,90,195.24,5857.2
83,21,9,2,3,10,,,260.57,1410,325.18,91655.4
83,22,10,2,1,8,,,27.4,150,325.32,9759.6
83,23,11,2,1,8,,,83.87,450,390.4,29262
83,24,12,2,7,44,,,77.74,420,320.32,25809.6
83,25,1,3,6,15,,,49.65,270,390.32,17559.6
83,26,2,3,1,8,,,48.51,270,325.24,17557.2
83,27,3,3,7,34,,,49.56,270,565.4,18914.4
83,28,4,3,14,76,,,83.63,450,445,30900
83,29,5,3,6,15,,,27.5,150,240,12000
83,30,6,3,7,35,,,33.28,180,300,12600
83,31,7,3,7,35,,,139.84,750,475,57000
83,32,8,3,7,37,,,67.04,360,462.5,27900
83,35,11,3,1,5,,,26,150,400,12000
83,36,12,3,1,8,,,179.2,990,345,53400
83,37,1,4,7,23,,,31.24,180,480,14400
83,38,2,4,7,41,,,136.52,750,440,36000
83,39,3,4,6,15,,,65.64,360,445,24750
83,4,4,1,7,36,,,56.3,300,382.25,18307.5
83,40,4,4,1,8,,,31,180,492,14760
83,41,5,4,7,30,,,273.31,1470,694,70020
83,42,6,4,1,3,,,225.22,1200,1003,84090
83,43,7,4,14,73,,,198.6,1080,947,66360
